,date
0,21 September 2017
1,18 September 2017
2,14 September 2017
3,14 September 2017
4,14 September 2017
5,13 September 2017
6,8 September 2017
7,7 September 2017
8,31 August 2017
9,31 August 2017
10,30 August 2017
11,29 August 2017
12,24 August 2017
13,15 August 2017
14,15 August 2017
15,10 August 2017
16,3 August 2017
17,27 July 2017
18,27 July 2017
19,27 July 2017
20,27 July 2017
21,27 July 2017
22,20 July 2017
23,14 July 2017
24,13 July 2017
25,13 July 2017
26,13 July 2017
27,13 July 2017
28,13 July 2017
29,13 July 2017
30,6 July 2017
31,6 July 2017
32,6 July 2017
33,4 July 2017
34,29 June 2017
35,29 June 2017
36,23 June 2017
37,22 June 2017
38,15 June 2017
39,13 June 2017
40,13 June 2017
41,1 June 2017
42,25 May 2017
43,25 May 2017
44,25 May 2017
45,18 May 2017
46,11 May 2017
47,10 May 2017
48,9 May 2017
49,9 May 2017
50,9 May 2017
51,25 April 2017
52,19 April 2017
53,30 March 2017
54,23 March 2017
55,23 March 2017
56,23 March 2017
57,23 March 2017
58,23 March 2017
59,16 March 2017
60,14 March 2017
61,28 February 2017
62,23 February 2017
63,23 February 2017
64,23 February 2017
65,16 February 2017
66,8 February 2017
67,26 January 2017
68,19 January 2017
69,19 January 2017
70,19 January 2017
71,19 January 2017
72,22 December 2016
73,20 December 2016
74,19 December 2016
75,16 December 2016
76,15 December 2016
77,15 December 2016
78,15 December 2016
79,15 December 2016
80,12 December 2016
81,1 December 2016
82,24 November 2016
83,24 November 2016
84,24 November 2016
85,24 November 2016
86,17 November 2016
87,10 November 2016
88,4 November 2016
89,3 November 2016
90,27 October 2016
91,25 October 2016
92,20 October 2016
93,13 October 2016
94,13 October 2016
95,13 October 2016
96,29 September 2016
97,15 September 2016
98,14 September 2016
99,8 September 2016
100,8 September 2016
101,1 September 2016
102,31 August 2016
103,25 August 2016
104,25 August 2016
105,10 August 2016
106,8 August 2016
107,4 August 2016
108,4 August 2016
109,3 August 2016
110,29 July 2016
111,28 July 2016
112,28 July 2016
113,14 July 2016
114,14 July 2016
115,7 July 2016
116,7 July 2016
117,7 July 2016
118,5 July 2016
119,30 June 2016
120,30 June 2016
121,30 June 2016
122,14 June 2016
123,14 June 2016
124,26 May 2016
125,24 May 2016
126,19 May 2016
127,12 May 2016
128,12 May 2016
129,4 May 2016
130,7 April 2016
131,30 March 2016
132,24 March 2016
133,24 March 2016
134,24 March 2016
135,3 March 2016
136,3 March 2016
137,25 February 2016
138,21 January 2016
139,21 January 2016
140,21 January 2016
141,21 January 2016
142,21 January 2016
143,10 December 2015
144,10 December 2015
145,10 December 2015
146,19 November 2015
147,19 November 2015
148,19 November 2015
149,5 November 2015
150,5 November 2015
151,23 October 2015
152,20 October 2015
153,20 October 2015
154,15 October 2015
155,15 October 2015
156,8 October 2015
157,24 September 2015
158,23 September 2015
159,27 August 2015
160,20 August 2015
161,31 July 2015
162,30 July 2015
163,30 July 2015
164,23 July 2015
165,23 July 2015
166,23 July 2015
167,22 July 2015
168,16 July 2015
169,16 July 2015
170,3 July 2015
171,2 July 2015
172,2 July 2015
173,2 July 2015
174,25 June 2015
175,24 June 2015
176,16 June 2015
177,4 June 2015
178,27 May 2015
179,21 May 2015
180,21 May 2015
181,20 May 2015
182,19 May 2015
183,31 March 2015
184,26 March 2015
185,19 March 2015
186,12 March 2015
187,11 March 2015
188,9 March 2015
189,26 February 2015
190,26 February 2015
191,10 February 2015
192,29 January 2015
193,29 January 2015
194,29 January 2015
195,27 January 2015
196,18 December 2014
197,11 December 2014
198,11 December 2014
199,11 December 2014
200,11 December 2014
201,20 November 2014
202,20 November 2014
203,14 November 2014
204,14 November 2014
205,6 November 2014
206,30 October 2014
207,23 October 2014
208,23 October 2014
209,16 October 2014
210,14 October 2014
211,2 October 2014
212,30 September 2014
213,25 September 2014
214,18 September 2014
215,12 September 2014
216,11 September 2014
217,28 August 2014
218,21 August 2014
219,1 August 2014
220,31 July 2014
221,31 July 2014
222,31 July 2014
223,17 July 2014
224,17 July 2014
225,17 July 2014
226,16 July 2014
227,10 July 2014
228,25 June 2014
229,19 June 2014
230,5 June 2014
231,30 May 2014
232,22 May 2014
233,1 May 2014
234,3 April 2014
235,2 April 2014
236,27 March 2014
237,27 March 2014
238,27 March 2014
239,25 March 2014
240,13 March 2014
241,6 March 2014
242,28 February 2014
243,27 February 2014
244,30 January 2014
245,23 January 2014
246,23 January 2014
247,12 December 2013
248,12 December 2013
